Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil,Natural gas,Biofuels,Waste,Nuclear,Hydro,Geothermal,Solar PV,Solar thermal,Wind,Tide,Other sources,Units
1990,4429526,1316722,1747817,105679,24281,2012901,2190906,36425,90,663,3880,536,19939,GWh
1991,4536605,1315132,1775585,72471,30213,2105786,2267824,37389,103,779,4197,556,20521,GWh
1992,4618967,1293133,1790394,83420,34876,2123688,2267057,39303,125,746,4638,556,20702,GWh
1993,4717403,1231875,1845315,86248,29762,2190502,2397582,40238,153,897,5611,534,20920,GWh
1994,4853877,1246600,1916599,90411,32829,2242298,2419739,41050,171,824,7311,541,22206,GWh
1995,4993863,1222944,2017965,95849,35184,2331950,2545955,39895,197,824,7959,547,23864,GWh
1996,5236797,1210532,2086117,95486,38671,2417193,2583298,42185,228,903,9453,530,24366,GWh
1997,5354048,1210178,2241911,101184,40148,2393101,2614543,42387,276,893,12086,549,24234,GWh
1998,5455875,1257561,2381294,102190,43128,2445251,2628623,45350,352,887,16080,561,20748,GWh
1999,5584548,1223873,2583357,107227,45145,2530738,2636713,48660,593,527,21584,554,21689,GWh
2000,5995262,1183946,2771732,113025,49920,2590624,2695710,52171,776,526,31354,546,22048,GWh
2001,6013880,1136673,2918579,112667,55107,2637685,2637854,51771,1099,565,38471,524,22292,GWh
2002,6298389,1134583,3120917,125218,56747,2660778,2710809,52430,1359,569,52880,533,22817,GWh
2003,6712624,1142384,3278986,134938,52186,2635351,2725054,53801,1792,549,64644,530,26646,GWh
2004,6940113,1140980,3512224,149632,54733,2738012,2893893,56454,2431,588,84799,508,30093,GWh
2005,7325182,1126540,3701288,169915,58089,2767951,3018322,58414,3693,597,104303,516,34290,GWh
2006,7734632,1041581,3919740,184213,61216,2791471,3123550,59872,5299,551,133507,490,30978,GWh
2007,8196068,1075132,4226438,201804,62386,2719229,3166408,62686,7191,685,171468,495,30460,GWh
2008,8255624,1033139,4384748,217738,66568,2733084,3286840,65198,11636,898,221993,487,27182,GWh
2009,8105089,961421,4429132,241077,70669,2696181,3339209,67415,19776,924,278369,486,28759,GWh
2010,8673728,963070,4856166,275345,86867,2756288,3536030,68145,32004,1645,342203,512,35017,GWh
2011,9155911,1051949,4931036,292762,92832,2582639,3594068,69771,63668,2861,437417,510,35462,GWh
2012,9198878,1130669,5134435,320226,94930,2460285,3759432,70866,98879,4746,525644,495,35140,GWh
2013,9640021,1082085,5076850,352627,96301,2479105,3889599,72337,139538,5866,648234,924,36743,GWh
2014,9833853,1057394,5178858,384657,99531,2535404,3974461,77146,184630,8423,722350,997,36640,GWh
2015,9541990,1023764,5552838,409023,98380,2570070,3981348,81383,244902,9607,833995,1004,37094,GWh
2016,9582710,944241,5836771,447081,106268,2608401,4141223,83218,321125,10485,963035,1026,36995,GWh
2017,9946165,845887,5923750,475023,112738,2636117,4189552,87116,431850,10900,1134879,1032,37853,GWh
2018,10162012,766903,6186248,506125,115026,2709096,4315295,89642,554491,11293,1276432,1005,47112,GWh
2019,9953777,724260,6343602,539720,111195,2790111,4345934,92099,684231,13933,1429006,1000,48489,GWh
2020,9470743,665027,6344288,572593,112546,2676449,4458576,95343,825700,13977,1600710,990,34294,GWh
2021,10252453,722727,6556329,619756,114853,2808115,4410978,95517,1020438,14632,1864067,976,38817,GWh
