,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
0,no transition,Technology-specific - Way et al. (2022),167.81258103918984
1,no transition,Technology-specific - Way et al. (2022),185.9725365989278
2,no transition,Technology-specific - Way et al. (2022),168.46992731046424
3,no transition,Technology-specific - Way et al. (2022),207.58440546624306
4,no transition,Technology-specific - Way et al. (2022),212.97188708727163
5,no transition,Technology-specific - Way et al. (2022),169.1349549955596
6,no transition,Technology-specific - Way et al. (2022),221.7961791759545
7,no transition,Technology-specific - Way et al. (2022),178.16690030056142
8,no transition,Technology-specific - Way et al. (2022),192.46234767616025
9,no transition,Technology-specific - Way et al. (2022),170.008995300761
10,no transition,Technology-specific - Way et al. (2022),182.45109889804957
11,no transition,Technology-specific - Way et al. (2022),182.61065559844232
12,no transition,Technology-specific - Way et al. (2022),163.08332578009095
13,no transition,Technology-specific - Way et al. (2022),190.96902644372523
14,no transition,Technology-specific - Way et al. (2022),194.5496498812568
15,no transition,Technology-specific - Way et al. (2022),183.6736034739431
16,no transition,Technology-specific - Way et al. (2022),187.38832627414723
17,no transition,Technology-specific - Way et al. (2022),157.64786198093992
18,no transition,Technology-specific - Way et al. (2022),149.74807419289075
19,no transition,Technology-specific - Way et al. (2022),182.11669395922178
20,no transition,Technology-specific - Way et al. (2022),197.33339403692713
21,no transition,Technology-specific - Way et al. (2022),178.81865327960324
22,no transition,Technology-specific - Way et al. (2022),189.76613796353973
23,no transition,Technology-specific - Way et al. (2022),179.124273573744
24,no transition,Technology-specific - Way et al. (2022),174.93930798650604
25,no transition,Technology-specific - Way et al. (2022),170.21535860212086
26,no transition,Technology-specific - Way et al. (2022),177.57285343723177
27,no transition,Technology-specific - Way et al. (2022),213.31953600821663
28,no transition,Technology-specific - Way et al. (2022),176.6033218212918
29,no transition,Technology-specific - Way et al. (2022),174.28933417034904
30,no transition,Technology-specific - Way et al. (2022),179.81921090683198
31,no transition,Technology-specific - Way et al. (2022),165.64297331039867
32,no transition,Technology-specific - Way et al. (2022),185.7833200876837
33,no transition,Technology-specific - Way et al. (2022),148.95566860765405
34,no transition,Technology-specific - Way et al. (2022),188.92921301514747
35,no transition,Technology-specific - Way et al. (2022),191.04275628451884
36,no transition,Technology-specific - Way et al. (2022),198.38436765814333
37,no transition,Technology-specific - Way et al. (2022),185.81367316145148
38,no transition,Technology-specific - Way et al. (2022),163.1441908471363
