Tech,Cumulative production,Unit cost
Wind_Turbine_2_(Germany),1.25,2549.0
Wind_Turbine_2_(Germany),4.4,2888.0
Wind_Turbine_2_(Germany),10.7,2542.0
Wind_Turbine_2_(Germany),32.7,2854.0
Wind_Turbine_2_(Germany),52.9,2949.0
Wind_Turbine_2_(Germany),82.0,2500.0
Wind_Turbine_2_(Germany),126.9,2102.0
Wind_Turbine_2_(Germany),277.9,1987.0
Wind_Turbine_2_(Germany),577.0,1752.0
Wind_Turbine_2_(Germany),849.0,1835.0
Wind_Turbine_2_(Germany),1132.6,1925.0
Wind_Turbine_2_(Germany),1605.1,1958.0
Wind_Turbine_2_(Germany),2388.9,1996.0
Caprolactam,350.0,41.64892528
Caprolactam,513.8,38.21699079
Caprolactam,701.4,34.61704312
Caprolactam,947.1,31.82048682
Caprolactam,1237.1,24.48412698
Caprolactam,1556.1,19.87366375
Caprolactam,1884.7,18.26153846
Caprolactam,2284.7,16.75683318
Caprolactam,2764.7,16.26853526
Caprolactam,3272.7,15.10490112
Caprolactam,3847.4,14.80067002
Fotovoltaica,0.0001,2273.0
Fotovoltaica,0.0005,1856.0
Fotovoltaica,0.00201537,1411.0
Fotovoltaica,0.006586015,1241.0
Fotovoltaica,0.0129994,1191.0
Fotovoltaica,0.0239719,1073.0
Fotovoltaica,0.0402977,907.0
Fotovoltaica,0.06232205,753.0
Fotovoltaica,0.08614885,593.0
Fotovoltaica,0.1165744,440.0
Fotovoltaica,0.158381,369.0
Fotovoltaica,0.192719,309.0
Fotovoltaica,0.2680155,251.0
Fotovoltaica,0.3298105,211.0
Fotovoltaica,0.406049,183.0
Fotovoltaica,0.4561035,163.0
Fotovoltaica,0.4947255,115.0
Fotovoltaica,0.5854735,79.77
Fotovoltaica,0.8258865,62.81
Fotovoltaica,1.08,46.37
Fotovoltaica,2.16,32.65
Fotovoltaica,3.51,26.89
Fotovoltaica,5.235,22.76
Fotovoltaica,7.965,17.86
Fotovoltaica,12.88,15.71
Fotovoltaica,19.405,12.78
