Tech,n_breaks,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Wind_Turbine_2_(Germany),0,-40.384401809038984,-39.25450309411591,3.5084609364681,0.6130071420551685,,,,,,,3.378716165494427,4.901616268960796,,,,,,,13
Wind_Turbine_2_(Germany),1,-39.42316969618265,-37.1633722663365,3.3990024978770186,0.6130071420551685,1.3193930469020636,,,,,,3.378716165494427,-2.2187041936308605,6.283137402558204,,,,,,13
Wind_Turbine_2_(Germany),2,-54.2902988410066,-50.900602696237385,3.3990024978770195,0.6130071420551685,1.7233542036651541,2.6226800179704397,,,,,3.378716165494427,-2.218704193630816,15.478209251886256,-6.6640469071321595,,,,,13
Wind_Turbine_2_(Germany),3,-53.12932213304231,-48.60972727335002,3.3904559333370967,0.6130071420551685,1.7673258532655278,1.969392511011096,2.7133638782117555,,,,3.378716165494427,-2.918738734113524,24.647688402148095,11.333498984942702,-5.440257609336374,,,,13
Wind_Turbine_2_(Germany),4,-46.812594763412704,-41.16310118879734,2.860496106983111,0.6130071420551685,0.6383501823586009,1.7761943728453244,2.14952726688794,2.3488779393139763,,,3.378716165494427,-85.37993558568793,-1.9220189418595046,24.647688402147814,12.635635355044261,-1.291163877133572,,,13
Wind_Turbine_2_(Germany),5,-46.55238591824926,-39.772993628710815,3.390455933337099,0.6130071420551685,1.7673258532655254,2.1154454960176117,2.122403087089283,2.130820508397915,2.7184756925482665,,3.378716165494427,-2.918738734113324,24.64768840214795,18.80116921972985,12.50189558082998,5.715071028883245,-3.426927459731699,,13
Caprolactam,0,-37.9841159938929,-37.188325448296155,2.610308458148298,2.2835744806987583,,,,,,,3.566969967972124,24.61989806049121,,,,,,,11
Caprolactam,1,-42.24871529261226,-40.65713420141878,1.9380954920447178,2.2835744806987583,2.6744581502644476,,,,,,3.566969967972124,9.214781981282872,28.453388401865244,,,,,,11
Caprolactam,2,-75.00865807967524,-72.62128644288502,2.022080020636884,2.2835744806987583,2.87741070812634,3.174062173292598,,,,,3.566969967972124,11.425799480491738,43.49513244132734,17.451512281512304,,,,,11
Caprolactam,3,-74.75618784432515,-71.57302566193819,0.5229271501342299,2.2835744806987583,2.3189130656787205,2.89835235973461,3.1740621732926,,,,3.566969967972124,-39.49811456852721,14.954191492192603,43.49513244132701,17.451512281512006,,,,11
Caprolactam,4,-70.7561878443243,-66.77723511634059,0.40153458810513837,2.2835744806987583,2.2960432909298474,2.3368837998564684,2.898352359734613,3.174062173292599,,,3.566969967972124,-44.73407663978415,-10.946889734826005,14.954191492192958,43.495132441327414,17.45151228151245,,,11
Caprolactam,5,-66.71383109135617,-61.93908781777572,2.0220800206368903,2.2835744806987583,2.8787164939484513,3.1214676698024664,3.1457031833110096,3.150877887435395,3.3264036888861352,,3.566969967972124,11.425799480491882,44.037635460816574,37.970695821938726,31.245981102823684,23.79223475009763,15.5305921637654,,11
Fotovoltaica,0,-20.404622763295052,-16.58057675243876,2.0024206326951006,-2.636811563395229,,,,,,,3.780605464740647,29.125396744752397,,,,,,,50
Fotovoltaica,1,-66.1656642354929,-58.51757221378031,1.9059502823199388,-2.636811563395229,1.525821210893955,,,,,,3.780605464740647,35.00123920880208,14.449925884952696,,,,,,50
Fotovoltaica,2,-130.10121534467942,-118.62907731211054,2.563748166004031,-2.636811563395229,-1.1070473997380885,0.4390189493125397,,,,,3.780605464740647,17.3933624485023,49.20351256615915,18.180286001940992,,,,,50
Fotovoltaica,3,-158.34269355675644,-143.04650951333127,2.5123523096900837,-2.636811563395229,-1.0045494531659638,0.24624843087711662,3.1200050474071603,,,,3.780605464740647,18.694552961825128,51.87907931163572,20.921506642528897,-4.860085277785853,,,,50
Fotovoltaica,4,-178.14342838666204,-159.0231983323806,2.5844576355252937,-2.636811563395229,-1.2544445117961134,-0.43789283244769406,0.09959081742368765,3.151740112023492,,,3.780605464740647,16.875441564240656,41.38502357989123,61.95573931583434,20.850191267641037,-6.607547719735063,,,50
Fotovoltaica,5,-202.38704465655127,-179.4427685914135,2.5844576355252977,-2.636811563395229,-1.2587536969601216,-0.352429077288374,-0.20557684064737852,1.0046456595207578,3.1982216098945804,,3.780605464740647,16.87544156424048,41.099351070519994,85.33415054450924,30.18254188154793,19.31079415769945,-6.607547719735707,,50
Fotovoltaica,6,-218.6238448317074,-191.85552275571337,0.013232876502254878,-2.636811563395229,-2.4963310942902908,-1.3230794788857738,-0.3524290772883748,-0.20557684064737897,1.0046456595207498,3.1982216098945986,3.780605464740647,58.47529258983714,11.628486822042683,41.099351070519475,85.33415054450909,30.182541881547063,19.310794157698318,-6.607547719739126,50
Crude_Oil,0,-98.05841179345833,-95.87632688674171,1.5348443189628664,2.0019857758304167,,,,,,,2.1835496633683675,29.915485786583773,,,,,,,22
Crude_Oil,1,-122.17822978752872,-117.81405997409546,-24.588269056801295,2.0019857758304167,2.0098668698081266,,,,,,2.1835496633683675,-576171.4403025957,36.28911358032747,,,,,,22
Crude_Oil,2,-100.04601365670783,-93.49975893655792,-0.07301823962873806,2.0019857758304167,2.06614134272732,2.135021518798081,,,,,2.1835496633683675,-21.113865193864623,42.58994580795717,50.16458101154795,,,,,22
Crude_Oil,3,-145.23139943381054,-136.503059806944,-24.58826905680161,2.0019857758304167,2.0114607599386045,2.0399580070766183,2.063072979712258,,,,2.1835496633683675,-576171.4403026532,83.22514708610814,-200.87256946713686,45.724822960780386,,,,22
Crude_Oil,4,-131.22432474141792,-120.31390020783476,-24.58826905680088,2.0019857758304167,2.0111118047852483,2.0322779937528246,2.0761137904817315,2.1722300027298456,,,2.1835496633683675,-576171.4403025077,77.62214072542942,-5.947903557750789,46.223496827787095,59.67788019095263,,,22
Crude_Oil,5,-88.04704302954369,-74.9545335892439,-0.07301823962872596,2.0019857758304167,2.066055219179779,2.123602917740896,2.1286825747413713,2.1333325544347903,2.1482008124153733,,2.1835496633683675,-21.113865193864314,42.41760287384968,44.20898183282554,45.94462374905617,47.6262274426555,50.55225519123101,,22
Photovoltaics_2,0,-57.56229893902833,-54.56928381609537,3.768506648905478,5.880298346279688,,,,,,,9.506588193036043,27.448935001972764,,,,,,,33
Photovoltaics_2,1,-64.12098755046102,-58.134957304595105,3.9749176544323133,5.880298346279688,9.08178321995277,,,,,,9.506588193036043,28.830828567710654,-3.954982007961716,,,,,,33
Photovoltaics_2,2,-107.32048834472926,-98.34144297593038,1.9148078689444452,5.880298346279688,7.118036252362857,8.739873864485409,,,,,9.506588193036043,11.538642135701128,36.52315600612865,7.330531369657689,,,,,33
Photovoltaics_2,3,-116.35809536186031,-104.38603487012847,1.9295139085669346,5.880298346279688,7.176713718592755,8.359895788412356,9.072178343594343,,,,9.506588193036043,11.683174025029519,38.46696870331486,25.822962309137733,-6.88918204378095,,,,33
Photovoltaics_2,4,-114.97602497329746,-100.01094935863264,1.9295139085669397,5.880298346279688,7.171657331567372,8.371706673207056,9.071622615699763,9.280130020727649,,,9.506588193036043,11.683174025029274,38.27224164804706,26.58076426159258,-23.264905915157907,11.131016525665348,,,33
Photovoltaics_2,5,-111.42591874594734,-93.46782800834958,3.304651272137806,5.880298346279688,6.267974008162515,6.7429775370642915,7.183024526060693,8.359895788412352,9.072178343594341,,9.506588193036043,24.62095824701005,0.22816998193440075,15.70821678354707,38.466968703314464,25.82296230913721,-6.889182043781639,,33
Photovoltaics_2,6,-109.13833148519859,-88.18722562466786,3.304651272137783,5.880298346279688,6.176455154335121,7.108182739215453,8.3647607351624,8.384246461784306,9.054632653926555,9.34395958340554,9.506588193036043,24.62095824700996,7.152316979864426,38.18474178004884,32.631779870572416,26.58076426159266,-14.298874168468112,16.271346020366295,33
Onshore_Gas_Pipeline,0,-31.985081415488303,-30.85518270056523,3.4753236147341053,1.5190270600153564,,,,,,,1.776613401326307,16.831832325820205,,,,,,,13
Onshore_Gas_Pipeline,1,-33.12432550909417,-30.864528079248025,3.2228681619853266,1.5190270600153564,1.7561081575126927,,,,,,1.776613401326307,7.194611151356489,99.20002295487993,,,,,,13
Onshore_Gas_Pipeline,2,-42.84319328948084,-39.45349714471162,4.812774713886793,1.5190270600153564,1.6849710833594027,1.7393570256773967,,,,,1.776613401326307,54.08692727239172,-953.1469311002311,97.8356532154263,,,,,13
Onshore_Gas_Pipeline,3,-66.57738329854408,-62.05778843885179,-1.8656879552853358,1.5190270600153564,1.547450805316903,1.6616131875715732,1.741947082109557,,,,1.776613401326307,-838.6798003909616,81.16115112204226,-686.6841552225625,98.21841039988357,,,,13
Onshore_Gas_Pipeline,4,-63.64090206834217,-57.99140849372681,-1.865687955285467,1.5190270600153564,1.5474508053169014,1.649475717837711,1.6797650284169119,1.7393570256773963,,,1.776613401326307,-838.6798003910299,81.16115112204318,-40.858801976008394,-953.1469311002307,97.83565321542628,,,13
Onshore_Gas_Pipeline,5,-55.63022021629524,-48.8508279267568,0.11396728226096055,1.5190270600153564,1.5695495097195096,1.6354825076139812,1.648684245743415,1.670651108214707,1.7393570256773965,,1.776613401326307,-281.730460310706,94.34279973878988,67.69790499089325,-84.44200219205362,-953.1469311002311,97.83565321542632,,13
Onshore_Gas_Pipeline,6,-52.982219992903595,-45.07292898844208,0.11396728226094037,1.5190270600153564,1.5695495097195091,1.6457051498371877,1.6523715813345914,1.6567411304266675,1.7373614069058483,1.748625983833923,1.776613401326307,-281.7304603107056,94.34279973878998,67.69790495302317,-84.44200244746567,-953.1469311002285,89.8674032019401,98.35115336986661,13
Titanium_Sponge,0,-33.856547319006886,-32.075803803214555,1.9946976398960046,2.8240889861252847,,,,,,,5.135479132337903,22.978831526086374,,,,,,,18
Titanium_Sponge,1,-68.29215063147845,-64.73066359989379,0.8297253568441356,2.8240889861252847,3.8607605977260753,,,,,,5.135479132337903,1.5768114925514554,33.74221880628747,,,,,,18
Titanium_Sponge,2,-71.5181880401044,-66.17595749272742,0.8297253568441315,2.8240889861252847,3.90098735394948,4.940324125645062,,,,,5.135479132337903,1.5768114925513887,35.57595889627194,15.607168608038545,,,,,18
