Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Wind_Turbine_2_(Germany),0,1,-13.320481707951082,-13.711043795516982,,0.6130071420551685,,,,,,,1.9286626385673682,-1.6698305965261895,,,,,,,6
Wind_Turbine_2_(Germany),0,0,-21.23701200981018,-21.65349307135407,3.4220856924107346,0.6130071420551685,,,,,,,1.9286626385673682,-0.5564765771690849,,,,,,,6
Caprolactam,0,1,-14.541473613128712,-14.932035700694613,,2.2835744806987583,,,,,,,3.14557577138462,18.990708381421406,,,,,,,6
Caprolactam,0,0,-17.205136680344665,-17.621617741888556,2.4741102763630334,2.2835744806987583,,,,,,,3.14557577138462,21.827040016272992,,,,,,,6
Caprolactam,1,0,-42.94989953726733,-43.78286166035511,2.0220800206368903,2.2835744806987583,2.877410708126341,,,,,,3.14557577138462,11.425799480491882,43.49513244132736,,,,,,6
Fotovoltaica,0,1,-66.65661414731076,-65.47856031696281,,-2.636811563395229,,,,,,,1.1099902986396113,26.77091434774912,,,,,,,25
Fotovoltaica,0,0,-17.890001455455117,-15.452249805718715,1.8990193061273801,-2.636811563395229,,,,,,,1.1099902986396113,35.259557353626,,,,,,,25
Fotovoltaica,1,0,-43.64883530183636,-38.77333200236355,2.5844576355252973,-2.636811563395229,-1.3286685988379285,,,,,,1.1099902986396113,16.87544156424049,42.12891677624883,,,,,,25
Fotovoltaica,2,0,-65.7775497533089,-58.4642948040997,2.512352309690087,-2.636811563395229,-1.0045494531659642,0.15107063217452685,,,,,1.1099902986396113,18.69455296182504,51.879079311635756,25.547093363553806,,,,,25
Fotovoltaica,3,0,-82.8875249534976,-73.136518354552,2.5844576355252977,-2.636811563395229,-1.2544445117961134,-0.4076992781778221,-0.04381546889096857,,,,1.1099902986396113,16.875441564240347,41.38502357989072,66.55649899207407,26.467936857706654,,,,25
Fotovoltaica,4,0,-89.09738355032383,-76.90862530164182,1.3586049304447154,-2.636811563395229,-2.369114876778392,-1.409421726519385,-0.42138721794225326,-0.04381546889097286,,,1.1099902986396113,40.62095751016437,8.822686701558336,39.83355570839873,66.55649899207407,26.46793685770691,,,25
