Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Wind_Turbine_2_(Germany),0,1,-13.320481707951082,-13.711043795516982,,0.6130071420551685,,,,,,,1.9286626385673682,-1.6698305965261895,,,,,,,6
Wind_Turbine_2_(Germany),0,0,-21.23701200981018,-21.65349307135407,3.4220856924107346,0.6130071420551685,,,,,,,1.9286626385673682,-0.5564765771690849,,,,,,,6
Fotovoltaica,0,1,-66.65661414731076,-65.47856031696281,,-2.636811563395229,,,,,,,1.1099902986396113,26.77091434774912,,,,,,,25
Fotovoltaica,0,0,-17.890001455455117,-15.452249805718715,1.8990193061273801,-2.636811563395229,,,,,,,1.1099902986396113,35.259557353626,,,,,,,25
Fotovoltaica,1,0,-43.64883530183636,-38.77333200236355,2.584457635525302,-2.636811563395229,-1.328668598837934,,,,,,1.1099902986396113,16.875441564240234,42.12891677624883,,,,,,25
Fotovoltaica,2,0,-65.77754975330888,-58.46429480409967,2.5123523096900855,-2.636811563395229,-1.0045494531659636,0.15107063217452618,,,,,1.1099902986396113,18.69455296182516,51.879079311635735,25.547093363553664,,,,,25
Fotovoltaica,3,0,-82.8875249534976,-73.136518354552,2.584457635525296,-2.636811563395229,-1.254444511796112,-0.40769927817782353,-0.043815468890967935,,,,1.1099902986396113,16.875441564240457,41.38502357989066,66.55649899207404,26.467936857706555,,,,25
Fotovoltaica,4,0,-89.09738355032403,-76.90862530164202,1.3586049304447114,-2.636811563395229,-2.3691148767783856,-1.409421726519387,-0.42138721794225265,-0.04381546889097268,,,1.1099902986396113,40.62095751016431,8.822686701558101,39.83355570839869,66.5564989920741,26.467936857706885,,,25
Fotovoltaica,5,0,-87.21738896963743,-72.59087907121902,1.358604930444696,-2.636811563395229,-2.335395907857416,-1.6836123945882662,-1.2498088424126028,-0.4076992781778209,-0.04381546889097142,,1.1099902986396113,40.6209575101647,5.071194329774952,21.366774076244653,41.38502357989081,66.55649899207407,26.467936857706796,,25
Crude_Oil,0,1,-37.063685226375654,-36.76110013338161,,2.0019857758304167,,,,,,,2.0879881861690346,-86.82442503189975,,,,,,,11
Crude_Oil,0,0,-44.81095219262875,-44.015161647032,0.23954991821945956,2.0019857758304167,,,,,,,2.0879881861690346,-8.805774706983538,,,,,,,11
