Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Fotovoltaica,0,1,-156.6279363943568,-154.73611609624618,,-2.636811563395229,,,,,,,3.780605464740647,23.48791519071084,,,,,,,50
Fotovoltaica,0,0,-20.404622763295052,-16.58057675243876,2.0024206326951006,-2.636811563395229,,,,,,,3.780605464740647,29.125396744752397,,,,,,,50
Fotovoltaica,1,0,-66.1656642354929,-58.51757221378031,1.9059502823199383,-2.636811563395229,1.5258212108939555,,,,,,3.780605464740647,35.00123920880209,14.449925884952686,,,,,,50
Fotovoltaica,2,0,-130.10121534467942,-118.62907731211054,2.5637481660040295,-2.636811563395229,-1.107047399738089,0.43901894931254065,,,,,3.780605464740647,17.393362448502316,49.20351256615911,18.180286001940928,,,,,50
Fotovoltaica,3,0,-158.3426935567564,-143.04650951333122,2.5123523096900837,-2.636811563395229,-1.0045494531659656,0.246248430877118,3.1200050474071586,,,,3.780605464740647,18.694552961825195,51.87907931163569,20.921506642528964,-4.860085277785764,,,,50
Fotovoltaica,4,0,-178.18836898876867,-159.06813893448722,2.584457635525293,-2.636811563395229,-1.2544445117961114,-0.43789283244769317,0.09794346234791648,3.12000504740717,,,3.780605464740647,16.875441564240766,41.385023579891275,61.95573931583442,20.92150664253001,-4.86008527778552,,,50
Fotovoltaica,5,0,-190.42722117553757,-167.4829451103998,2.584457635525296,-2.636811563395229,-1.254444511796111,-0.40769927817782264,-0.042608226496506474,1.3686892740985663,3.2156364530267085,,3.780605464740647,16.875441564240525,41.38502357989099,66.55649899207435,26.317207054755098,18.683803873361803,-6.6075477197356625,,50
Fotovoltaica,6,0,-187.56673787867385,-160.7984158026798,2.5844576355252906,-2.636811563395229,-1.2544445117961072,-0.40769927817782137,-0.04711071343347159,1.0435073222793887,1.9987553376929124,3.2279192910924386,3.780605464740647,16.875441564240678,41.38502357989089,66.55649899207417,26.781444747994165,21.401295786325957,18.214291417483285,-6.607547719735951,50
Crude_Oil,0,1,-92.4939605254027,-91.44943808767927,,2.0019857758304167,,,,,,,2.1835496633683675,11.548819638961538,,,,,,,22
Crude_Oil,0,0,-98.05841179345833,-95.87632688674171,1.5348443189628664,2.0019857758304167,,,,,,,2.1835496633683675,29.915485786583773,,,,,,,22
