index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
0,Wind_Turbine_2_(Germany),0,1,-38.79574385498776,-38.31083720519976,,0.6130071420551685,,,,,,,3.378716165494427,2.054491456831764,,,,,,,13
1,Wind_Turbine_2_(Germany),0,0,-40.38440180903898,-39.25450309411591,3.5084609364681,0.6130071420551685,,,,,,,3.378716165494427,4.901616268960796,,,,,,,13
2,Wind_Turbine_2_(Germany),1,0,-39.42316969618269,-37.16337226633655,3.39900249787702,0.6130071420551685,1.3193930469020658,,,,,,3.378716165494427,-2.218704193630816,6.283137402558192,,,,,,13
3,Wind_Turbine_2_(Germany),2,0,-54.29029884100655,-50.90060269623733,3.399002497877018,0.6130071420551685,1.723354203665157,2.622680017970441,,,,,3.378716165494427,-2.2187041936308383,15.478209251886144,-6.664046907132137,,,,,13
4,Wind_Turbine_2_(Germany),3,0,-45.819992358367074,-41.30039749867478,3.390455933337099,0.6130071420551685,1.5210845325313078,2.733324113302324,3.069731457638645,,,,3.378716165494427,-2.9187387341135684,11.576063490625168,-10.117420376475073,-3.412408865908501,,,,13
5,Caprolactam,0,1,-37.4418668270818,-37.13928173408775,,2.2835744806987583,,,,,,,3.566969967972124,19.0331791306934,,,,,,,11
6,Caprolactam,0,0,-37.9841159938929,-37.18832544829616,2.610308458148298,2.2835744806987583,,,,,,,3.566969967972124,24.61989806049121,,,,,,,11
7,Fotovoltaica,0,1,-156.6279363943568,-154.73611609624618,,-2.636811563395229,,,,,,,3.780605464740647,23.48791519071084,,,,,,,50
8,Fotovoltaica,0,0,-20.40462276329505,-16.58057675243876,2.0024206326951006,-2.636811563395229,,,,,,,3.780605464740647,29.1253967447524,,,,,,,50
9,Fotovoltaica,1,0,-66.16566423549291,-58.517572213780326,1.905950282319938,-2.636811563395229,1.5258212108939562,,,,,,3.780605464740647,35.00123920880205,14.449925884952664,,,,,,50
10,Fotovoltaica,2,0,-130.10121534467947,-118.6290773121106,2.56374816600403,-2.636811563395229,-1.1070473997380932,0.4390189493125465,,,,,3.780605464740647,17.393362448502316,49.20351256615895,18.18028600194096,,,,,50
11,Fotovoltaica,3,0,-158.3426935567565,-143.04650951333133,2.512352309690084,-2.636811563395229,-1.0045494531659651,0.2462484308771186,3.12000504740716,,,,3.780605464740647,18.694552961825085,51.879079311635714,20.921506642528897,-4.860085277785853,,,,50
12,Fotovoltaica,4,0,-178.18836898876862,-159.06813893448717,2.5844576355252937,-2.636811563395229,-1.2544445117961138,-0.4378928324476923,0.0979434623479164,3.120005047407157,,,3.780605464740647,16.875441564240646,41.385023579891126,61.95573931583439,20.921506642529984,-4.8600852777844095,,,50
13,Fotovoltaica,5,0,-190.4272211755377,-167.48294511039998,2.584457635525295,-2.636811563395229,-1.2544445117961096,-0.4076992781778218,-0.0426082264965072,1.3686892740985712,3.2156364530267085,,3.780605464740647,16.875441564240624,41.38502357989109,66.55649899207432,26.31720705475512,18.68380387336194,-6.607547719735485,,50
14,Fotovoltaica,6,0,-188.46529242632312,-161.69697035032908,2.5844576355252897,-2.636811563395229,-1.2544445117961096,-0.407699278177823,-0.0516858264124052,0.8180443016348135,1.891713236380608,3.2397047087658923,3.780605464740647,16.87544156424069,41.385023579891,66.55649899207422,27.577570299494848,22.76600015178247,17.751164440896105,-6.6075477197357735,50
15,Crude_Oil,0,1,-92.4939605254027,-91.44943808767928,,2.0019857758304167,,,,,,,2.1835496633683675,11.548819638961538,,,,,,,22
16,Crude_Oil,0,0,-98.05841179345832,-95.87632688674172,1.5348443189628664,2.0019857758304167,,,,,,,2.1835496633683675,29.915485786583773,,,,,,,22
17,Photovoltaics_2,0,1,-103.56382338083355,-102.09808747803385,,5.880298346279688,,,,,,,9.506588193036045,20.77169864478125,,,,,,,33
18,Photovoltaics_2,0,0,-57.56229893902833,-54.56928381609537,3.768506648905478,5.880298346279688,,,,,,,9.506588193036045,27.448935001972764,,,,,,,33
19,Photovoltaics_2,1,0,-64.12098755046097,-58.13495730459505,3.974917654432319,5.880298346279688,9.08178321995277,,,,,,9.506588193036045,28.83082856771069,-3.9549820079616937,,,,,,33
20,Photovoltaics_2,2,0,-107.32048834472926,-98.34144297593038,1.9148078689444448,5.880298346279688,7.118036252362856,8.739873864485409,,,,,9.506588193036045,11.538642135701128,36.523156006128666,7.330531369657711,,,,,33
21,Photovoltaics_2,3,0,-116.3580953618594,-104.38603487012756,1.9295139085669413,5.880298346279688,7.176713718592761,8.359895788412349,9.07217834359434,,,,9.506588193036045,11.683174025029286,38.46696870331476,25.82296230913763,-6.889182043781106,,,,33
22,Onshore_Gas_Pipeline,0,1,-31.071096981389843,-30.58619033160184,,1.5190270600153564,,,,,,,1.776613401326307,19.34588120239703,,,,,,,13
23,Onshore_Gas_Pipeline,0,0,-31.985081415488303,-30.85518270056523,3.4753236147341053,1.5190270600153564,,,,,,,1.776613401326307,16.831832325820205,,,,,,,13
24,Titanium_Sponge,0,1,-58.32617057261959,-57.49295722856337,,2.8240889861252847,,,,,,,5.135479132337903,15.681489735026233,,,,,,,18
25,Titanium_Sponge,0,0,-33.856547319006886,-32.075803803214555,1.9946976398960048,2.8240889861252847,,,,,,,5.135479132337903,22.97883152608637,,,,,,,18
26,Titanium_Sponge,1,0,-68.29215063147845,-64.73066359989379,0.829725356844136,2.8240889861252847,3.860760597726076,,,,,,5.135479132337903,1.5768114925514776,33.7422188062875,,,,,,18
27,Titanium_Sponge,2,0,-71.5181880401044,-66.17595749272742,0.8297253568441327,2.8240889861252847,3.90098735394948,4.940324125645063,,,,,5.135479132337903,1.5768114925513887,35.575958896272,15.607168608038592,,,,,18
