,Tech,Training horizon,Forecast horizon,Paired t-test,Wilcoxon signed-ranks test,Mean Error (Tech),Mean Error (Avg)
0,Fotovoltaica,0.5,0.5,0.0,0.0,0.18299239553472318,0.13147854880548399
1,Transistor,0.5,0.5,0.0,0.0,0.1563251976065484,0.305734976397627
2,DRAM,0.5,0.5,0.0,3.742623440445213e-277,0.3171916419871319,0.35493835738525537
3,Laser_Diode,0.5,0.5,0.13902355700769517,0.06354908150105334,0.16926041393499078,0.10625979957172087
4,Hard_Disk_Drive,0.5,0.5,8.705285052484274e-121,4.054752821311313e-59,0.2028971759062307,0.3960799880352446
5,Fotovoltaica,0.5,1.0,0.0,0.0,0.33269927841608343,0.19005478450981822
6,Transistor,0.5,1.0,0.0,0.0,0.2252738046002563,0.5129422589418786
7,DRAM,0.5,1.0,0.0,8.276641391887098e-259,0.4060627429713719,0.5270426227159917
8,Laser_Diode,0.5,1.0,4.72548894466955e-14,2.0785472528589024e-08,0.34961202559987675,0.18934531436794647
9,Hard_Disk_Drive,0.5,1.0,1.2560053572257063e-146,8.496836971878938e-50,0.26858783928901353,0.6325288447872861
10,Fotovoltaica,0.5,2.0,0.0,0.0,0.8139539201019412,0.30305465949549576
11,Transistor,0.5,2.0,0.0,0.0,0.28443360847422017,0.8812728728015747
12,DRAM,0.5,2.0,0.0,0.0,0.7229622938429218,1.0069706460485686
13,Laser_Diode,0.5,2.0,3.059356260811539e-11,1.9073486328125e-06,0.4510177564039704,0.19149872908442808
14,Hard_Disk_Drive,0.5,2.0,4.5575341961921807e-119,1.526148886523596e-45,0.4654614362829707,1.2501092639585196
15,Fotovoltaica,1.0,0.5,0.0,0.0,0.18563887337167176,0.12476929145179463
16,Transistor,1.0,0.5,0.0,2.756873730074029e-288,0.148294801898107,0.3044964042311373
17,DRAM,1.0,0.5,0.0,3.9033327453599554e-264,0.29963325725229856,0.35526332641986147
18,Laser_Diode,1.0,0.5,9.333431471114842e-06,1.9375455224284978e-05,0.17204630806906904,0.11182451065780098
19,Hard_Disk_Drive,1.0,0.5,9.969931700546768e-102,2.2246580785713106e-45,0.18814473338281315,0.3848020175124174
20,Fotovoltaica,1.0,1.0,0.0,0.0,0.3371128655532051,0.17992070172346916
21,Transistor,1.0,1.0,0.0,1.2610771121477325e-280,0.2079822617270669,0.5125596889595803
22,DRAM,1.0,1.0,0.0,4.3524663857271823e-246,0.3764113924228015,0.5307846674880233
23,Laser_Diode,1.0,1.0,1.5258252423382945e-20,2.2737367544323206e-13,0.35824739274049433,0.1961429863303248
24,Hard_Disk_Drive,1.0,1.0,3.312801960410273e-120,1.611595947805442e-37,0.24426350897932117,0.6124327764960313
25,Fotovoltaica,1.0,2.0,0.0,0.0,0.7729226962963748,0.2920935370065923
26,Transistor,1.0,2.0,0.0,0.0,0.25266811896586944,0.8763843739663159
27,DRAM,1.0,2.0,0.0,0.0,0.6662812659932269,1.0174408553000513
28,Laser_Diode,1.0,2.0,3.059356260811539e-11,1.9073486328125e-06,0.4510177564039704,0.19149872908442808
29,Hard_Disk_Drive,1.0,2.0,3.541698519238574e-88,2.4599268408361663e-28,0.31021844039340224,1.1964399356858224
30,Fotovoltaica,2.0,0.5,0.0,0.0,0.18949586066130394,0.11582715083550607
31,Transistor,2.0,0.5,0.0,1.5680426087461664e-225,0.14461129297702585,0.3050580946175171
32,DRAM,2.0,0.5,0.0,3.7466243485815793e-205,0.2884257631545592,0.35316216211882767
33,Laser_Diode,2.0,0.5,3.2180904090665784e-11,1.000444171950221e-11,0.17035612393409622,0.10867649768011153
34,Hard_Disk_Drive,2.0,0.5,3.5414710564611995e-60,1.0792215725240146e-26,0.19836325782048486,0.36112017823428866
35,Fotovoltaica,2.0,1.0,0.0,0.0,0.34129677434958305,0.1672565857932173
36,Transistor,2.0,1.0,0.0,4.473376390787682e-216,0.20132976365997202,0.5156302159087293
37,DRAM,2.0,1.0,0.0,4.69218953932423e-187,0.3636640197282628,0.5317689549323167
38,Laser_Diode,2.0,1.0,6.741634405277275e-15,2.9802322387695312e-08,0.36916732787697176,0.1943680552137564
39,Hard_Disk_Drive,2.0,1.0,1.4869903709507443e-63,8.748478943443364e-20,0.2654173817383404,0.565261349880402
40,Fotovoltaica,2.0,2.0,8.776522814811411e-287,1.450257505553542e-214,0.6874792467406596,0.2838852595211205
41,Transistor,2.0,2.0,0.0,7.983048513695013e-272,0.24365322534288128,0.8775788887019571
42,DRAM,2.0,2.0,0.0,7.511547340832815e-256,0.6444392616190311,1.0320618562050485
43,Laser_Diode,2.0,2.0,4.928696009401712e-06,0.0078125,0.43262397793718727,0.09322589616180617
44,Hard_Disk_Drive,2.0,2.0,9.242758655757774e-25,3.637978807091713e-12,0.2718390166974353,1.0134779520862867
