,iter,scenario,cost
0,0,no transition,183.48358780912662
1,0,slow transition,158.30030676267336
2,0,fast transition,157.72333730014876
3,1,no transition,177.04154893934938
4,1,slow transition,165.875963127889
5,1,fast transition,142.12184876488655
6,2,no transition,173.27198757742374
7,2,slow transition,195.53535638007475
8,2,fast transition,197.4192256283243
9,3,no transition,195.03331872805262
10,3,slow transition,158.11061451649275
11,3,fast transition,214.32343005767382
12,4,no transition,186.1467662190488
13,4,slow transition,204.3933590992238
14,4,fast transition,172.61516416213618
15,5,no transition,162.69039593538406
16,5,slow transition,178.73193056153707
17,5,fast transition,131.0327649586815
18,6,no transition,175.64594791893512
19,6,slow transition,232.23012470410742
20,6,fast transition,224.43657940539683
21,7,no transition,180.39021474592943
22,7,slow transition,146.63210798708738
23,7,fast transition,174.4269043942873
24,8,no transition,172.19187828045852
25,8,slow transition,182.115647459892
26,8,fast transition,273.0835013651467
27,9,no transition,166.51009625841075
28,9,slow transition,185.46955779584192
29,9,fast transition,228.15347593265332
30,10,no transition,186.36045890575343
31,10,slow transition,171.45622754940186
32,10,fast transition,131.94165975177847
33,11,no transition,161.14916730682282
34,11,slow transition,171.48162800752482
35,11,fast transition,185.83700998345705
36,12,no transition,177.9306300731613
37,12,slow transition,200.52125811080424
38,12,fast transition,135.8775295091719
39,13,no transition,168.62278218557736
40,13,slow transition,180.76654708059993
41,13,fast transition,150.73177543693888
42,14,no transition,202.95448265201415
43,14,slow transition,192.94365473809063
44,14,fast transition,152.11242221417868
45,15,no transition,173.22136986762206
46,15,slow transition,149.82588843410787
47,15,fast transition,159.24389812091397
48,16,no transition,177.08649015132303
49,16,slow transition,165.7988947018291
50,16,fast transition,149.96230847153706
51,17,no transition,168.91308416581393
52,17,slow transition,162.42289342142342
53,17,fast transition,233.59121133944393
54,18,no transition,155.63563088457232
55,18,slow transition,151.78813973377294
56,18,fast transition,142.4294086994355
57,19,no transition,178.07336502448118
58,19,slow transition,179.72285672335818
59,19,fast transition,221.66941611847543
60,20,no transition,179.477701923992
61,20,slow transition,182.57369223985694
62,20,fast transition,129.9006111093038
63,21,no transition,166.9185573538088
64,21,slow transition,172.06805441856955
65,21,fast transition,188.63922519116645
66,22,no transition,212.45608140892477
67,22,slow transition,169.3452229543271
68,22,fast transition,140.02138263779736
69,23,no transition,178.85742858665344
70,23,slow transition,180.47208565046705
71,23,fast transition,149.92531402135893
72,24,no transition,196.86178044387663
73,24,slow transition,161.04228003528377
74,24,fast transition,199.96051093688274
75,25,no transition,162.10586006584583
76,25,slow transition,172.06016784485857
77,25,fast transition,167.45946429371384
78,26,no transition,176.62875531959392
79,26,slow transition,181.06671091146617
80,26,fast transition,154.067425459285
81,27,no transition,173.74953676432222
82,27,slow transition,169.8464324734088
83,27,fast transition,134.66785952526527
84,28,no transition,197.78802496846924
85,28,slow transition,163.46641276037988
86,28,fast transition,149.53067062473573
87,29,no transition,183.0063758765775
88,29,slow transition,161.83147182822793
89,29,fast transition,168.84023059357423
90,30,no transition,165.56999949073392
91,30,slow transition,202.00793324083324
92,30,fast transition,193.24953790862733
93,31,no transition,163.77753902555298
94,31,slow transition,185.3730457524541
95,31,fast transition,169.14107129860093
96,32,no transition,174.4887701237138
97,32,slow transition,159.67225552186463
98,32,fast transition,174.7425963931093
99,33,no transition,192.8965718654656
100,33,slow transition,209.22841657885982
101,33,fast transition,160.64655524289458
102,34,no transition,163.6581762149169
103,34,slow transition,201.17029149925
104,34,fast transition,154.70889889628907
105,35,no transition,188.17798753616856
106,35,slow transition,169.96685818602782
107,35,fast transition,641.3088560050568
108,36,no transition,161.2276660003272
109,36,slow transition,163.41849735083346
110,36,fast transition,150.55693718306532
111,37,no transition,186.23788984049776
112,37,slow transition,206.6558473546595
113,37,fast transition,134.3310338928661
114,38,no transition,181.0541896819751
115,38,slow transition,160.573912215139
116,38,fast transition,174.01111882252638
117,39,no transition,189.0306572099029
118,39,slow transition,158.81949777561536
119,39,fast transition,127.67217227480494
120,40,no transition,194.02303313155286
121,40,slow transition,190.88793383773938
122,40,fast transition,158.82704855001774
123,41,no transition,164.56666033229533
124,41,slow transition,187.14782164275675
125,41,fast transition,166.556109038197
126,42,no transition,158.34034578130579
127,42,slow transition,168.3631583851441
128,42,fast transition,176.66636207580143
129,43,no transition,207.39038754030742
130,43,slow transition,197.63746299961375
131,43,fast transition,197.45904147551542
132,44,no transition,169.08690098892205
133,44,slow transition,200.26074527879808
134,44,fast transition,273.4159926671155
135,45,no transition,158.31475441582555
136,45,slow transition,176.6455201484397
137,45,fast transition,126.22216257299355
138,46,no transition,197.15882054437236
139,46,slow transition,184.33544085360836
140,46,fast transition,154.1318860699312
141,47,no transition,171.80554214271208
142,47,slow transition,179.95996548083625
143,47,fast transition,151.86995225385377
144,48,no transition,187.11183589243032
145,48,slow transition,182.65726304360228
146,48,fast transition,153.62749713417668
147,49,no transition,181.8942439486007
148,49,slow transition,168.47176653574655
149,49,fast transition,184.7527936190239
150,50,no transition,171.51756539733253
151,50,slow transition,177.65030475881457
152,50,fast transition,140.6517281207268
153,51,no transition,176.40478317387183
154,51,slow transition,164.0892179627641
155,51,fast transition,147.5305409463112
156,52,no transition,169.13700587154588
157,52,slow transition,166.75509831556786
158,52,fast transition,131.84301218008744
159,53,no transition,200.49429729923543
160,53,slow transition,146.43889915568948
161,53,fast transition,155.65800826030744
162,54,no transition,184.92063677217027
163,54,slow transition,155.6956618198087
164,54,fast transition,140.0765648288431
165,55,no transition,192.6539693180537
166,55,slow transition,148.34340315033532
167,55,fast transition,135.4427670187622
168,56,no transition,181.55651978730893
169,56,slow transition,166.19647348656963
170,56,fast transition,177.64521637504336
171,57,no transition,225.76222537982096
172,57,slow transition,173.23490914920595
173,57,fast transition,132.11763336633075
174,58,no transition,160.86423809386235
175,58,slow transition,170.92400721084968
176,58,fast transition,387.73369006708936
177,59,no transition,181.69230686409156
178,59,slow transition,164.29296356696818
179,59,fast transition,157.13356818166284
180,60,no transition,164.183234553402
181,60,slow transition,158.1069064242495
182,60,fast transition,241.7514693770157
183,61,no transition,181.92399448569574
184,61,slow transition,198.43525037930985
185,61,fast transition,249.0613167858554
186,62,no transition,159.92879239684467
187,62,slow transition,160.53359306446944
188,62,fast transition,160.83926869905426
189,63,no transition,167.44137209973323
190,63,slow transition,149.6431311008553
191,63,fast transition,148.82666879315613
192,64,no transition,177.32076139989175
193,64,slow transition,158.19254430875682
194,64,fast transition,166.71594075910454
195,65,no transition,183.29575825659742
196,65,slow transition,164.04594099462057
197,65,fast transition,131.66434664869644
198,66,no transition,155.0695010310265
199,66,slow transition,144.46819874613124
200,66,fast transition,149.15445824220112
201,67,no transition,160.2543216649438
202,67,slow transition,150.68584844279147
203,67,fast transition,141.9208970216123
204,68,no transition,173.40229386464253
205,68,slow transition,158.52681508899192
206,68,fast transition,170.73506138027793
207,69,no transition,168.1982332239045
208,69,slow transition,163.82253365850312
209,69,fast transition,150.51623489030737
210,70,no transition,199.15759838211855
211,70,slow transition,158.70196959612488
212,70,fast transition,141.3080147495552
213,71,no transition,153.04547896531
214,71,slow transition,179.6102471462926
215,71,fast transition,146.0781254964844
216,72,no transition,175.8371314996338
217,72,slow transition,153.26889361598757
218,72,fast transition,166.39777863084484
219,73,no transition,165.78949557666505
220,73,slow transition,155.650368736613
221,73,fast transition,160.8122835848207
222,74,no transition,195.92586668892395
223,74,slow transition,196.5478728251265
224,74,fast transition,248.6289114522879
225,75,no transition,169.404274934982
226,75,slow transition,185.0106319062038
227,75,fast transition,213.31935351351146
228,76,no transition,204.26314679248318
229,76,slow transition,194.3848373767503
230,76,fast transition,135.1422085703367
231,77,no transition,179.52199601470966
232,77,slow transition,145.28282295193182
233,77,fast transition,221.38544740484065
234,78,no transition,205.38748114973632
235,78,slow transition,235.39332191480813
236,78,fast transition,172.78498084963744
237,79,no transition,201.20403043278543
238,79,slow transition,162.1214943777024
239,79,fast transition,156.10501985812007
240,80,no transition,203.14748303489282
241,80,slow transition,190.14115367591927
242,80,fast transition,204.23241802208307
243,81,no transition,179.25667436812486
244,81,slow transition,196.49191129013744
245,81,fast transition,161.57298803736188
246,82,no transition,152.65004130241735
247,82,slow transition,170.30096971585644
248,82,fast transition,146.75816615289563
249,83,no transition,168.00566703498862
250,83,slow transition,155.1707540091245
251,83,fast transition,158.429151767908
252,84,no transition,172.56253423017884
253,84,slow transition,167.45480545940168
254,84,fast transition,163.9128745295823
255,85,no transition,199.5447958892368
256,85,slow transition,208.3681755990853
257,85,fast transition,153.54346899147131
258,86,no transition,174.1382820246733
259,86,slow transition,142.2279674187157
260,86,fast transition,157.90428713193805
261,87,no transition,182.57324287930086
262,87,slow transition,180.78948197698318
263,87,fast transition,144.85894159520626
264,88,no transition,172.54543908004527
265,88,slow transition,148.08819750086678
266,88,fast transition,144.07732304198998
267,89,no transition,184.65995662814257
268,89,slow transition,177.5394983187087
269,89,fast transition,194.6315454032898
270,90,no transition,183.7250007570635
271,90,slow transition,175.8896908639465
272,90,fast transition,126.21243310213491
273,91,no transition,188.04545188586226
274,91,slow transition,180.52745974457525
275,91,fast transition,217.7899203617662
276,92,no transition,170.41638972240375
277,92,slow transition,167.66164095929406
278,92,fast transition,168.07088399226888
279,93,no transition,173.33890861405044
280,93,slow transition,167.8155322312352
281,93,fast transition,196.35211906820143
282,94,no transition,159.9788775323714
283,94,slow transition,172.01137361399594
284,94,fast transition,147.2829492240279
285,95,no transition,173.032960328658
286,95,slow transition,156.36180546069622
287,95,fast transition,139.80933432535542
288,96,no transition,185.41043903861538
289,96,slow transition,171.9016853047205
290,96,fast transition,207.7252706020521
291,97,no transition,188.5440111603295
292,97,slow transition,160.30168646850132
293,97,fast transition,144.90897010989863
294,98,no transition,194.32152232224436
295,98,slow transition,181.08777051809224
296,98,fast transition,172.14508251342323
297,99,no transition,183.5961662262026
298,99,slow transition,171.32928688815426
