,iter,scenario,cost
0,0,no transition,186.6351495944236
1,0,slow transition,149.01507028645182
2,0,fast transition,130.2081736212049
3,1,no transition,162.4638957397987
4,1,slow transition,145.9631444580564
5,1,fast transition,121.06738021513924
6,2,no transition,195.2679167731778
7,2,slow transition,148.81799522178147
8,2,fast transition,114.29830504937306
9,3,no transition,156.28100940094154
10,3,slow transition,144.9034778054139
11,3,fast transition,128.76230560749116
12,4,no transition,183.80822343897898
13,4,slow transition,147.73959622484446
14,4,fast transition,126.67624395429156
15,5,no transition,154.5654161108388
16,5,slow transition,146.90357867059137
17,5,fast transition,127.11581026081122
18,6,no transition,151.46406911701555
19,6,slow transition,146.12409094221502
20,6,fast transition,113.25677165505259
21,7,no transition,174.290530925684
22,7,slow transition,142.98346655135913
23,7,fast transition,124.27404079962416
24,8,no transition,179.62961520427146
25,8,slow transition,137.85498664644808
26,8,fast transition,135.78089952135733
27,9,no transition,165.34173145991812
28,9,slow transition,136.59484028709628
29,9,fast transition,133.22665062234165
30,10,no transition,171.96253771425498
31,10,slow transition,151.918112904233
32,10,fast transition,108.43932103972224
33,11,no transition,153.49763673262345
34,11,slow transition,149.4486518468213
35,11,fast transition,135.28227011091047
36,12,no transition,145.90850674087477
37,12,slow transition,177.2828001113101
38,12,fast transition,138.03389739742988
39,13,no transition,167.8989410017103
40,13,slow transition,143.43703972051526
41,13,fast transition,122.64373749438806
42,14,no transition,191.87536247037562
43,14,slow transition,148.92901007507922
44,14,fast transition,150.248321058511
45,15,no transition,146.16893667298794
46,15,slow transition,137.1382810272748
47,15,fast transition,130.136663654097
48,16,no transition,167.30555171103148
49,16,slow transition,171.1625582674203
50,16,fast transition,120.85670112396906
51,17,no transition,176.00953584762792
52,17,slow transition,167.85988896135444
53,17,fast transition,140.4936653121383
54,18,no transition,174.0301334962561
55,18,slow transition,133.7676649457948
56,18,fast transition,113.23231064652799
57,19,no transition,166.97519131475013
58,19,slow transition,147.24690132212567
59,19,fast transition,137.97376846587207
60,20,no transition,155.7732524148434
61,20,slow transition,156.19064144595174
62,20,fast transition,111.19361371995281
63,21,no transition,157.78688669103343
64,21,slow transition,155.96815326417155
65,21,fast transition,143.778957013518
66,22,no transition,159.0327984151503
67,22,slow transition,140.75755868436133
68,22,fast transition,130.2267142317966
69,23,no transition,169.44898656983915
70,23,slow transition,152.17071719347953
71,23,fast transition,120.92590924238131
72,24,no transition,175.4369743351153
73,24,slow transition,174.57154622968665
74,24,fast transition,134.27359462453012
75,25,no transition,170.4637831466463
76,25,slow transition,162.02004135743343
77,25,fast transition,113.77206282378984
78,26,no transition,172.38221157661482
79,26,slow transition,159.27100376215319
80,26,fast transition,129.04343253464017
81,27,no transition,153.92920654840154
82,27,slow transition,144.04517970877663
83,27,fast transition,122.36018983003896
84,28,no transition,160.895098256662
85,28,slow transition,131.03917181212978
86,28,fast transition,131.12412592648013
87,29,no transition,184.7916543274572
88,29,slow transition,171.62573491823937
89,29,fast transition,134.1910833045553
90,30,no transition,163.87707334677737
91,30,slow transition,159.05505665991842
92,30,fast transition,109.20953251808339
93,31,no transition,185.9052238451293
94,31,slow transition,144.1297896152902
95,31,fast transition,125.48295834763105
96,32,no transition,153.30000176195173
97,32,slow transition,160.41330369639422
98,32,fast transition,137.29425863181268
99,33,no transition,167.9981077997037
100,33,slow transition,138.59872909847212
101,33,fast transition,142.96962145153998
102,34,no transition,138.65146382307572
103,34,slow transition,147.88455095780287
104,34,fast transition,122.4457818118365
105,35,no transition,170.02357266244937
106,35,slow transition,151.0638719061471
107,35,fast transition,126.21572630964718
108,36,no transition,155.37055051105088
109,36,slow transition,163.7646406196264
110,36,fast transition,129.9818409229229
111,37,no transition,185.76469821154075
112,37,slow transition,133.7679411010198
113,37,fast transition,130.12483305465128
114,38,no transition,163.53008133416728
115,38,slow transition,152.18000377876353
116,38,fast transition,123.30567802422097
117,39,no transition,189.25310381413456
118,39,slow transition,138.9929079416024
119,39,fast transition,124.70909029175925
120,40,no transition,172.33512217501743
121,40,slow transition,135.17705300019674
122,40,fast transition,130.88739061440756
123,41,no transition,173.2684192574571
124,41,slow transition,151.1328724534684
125,41,fast transition,137.54919503713015
126,42,no transition,158.05424524939903
127,42,slow transition,142.9148877998948
128,42,fast transition,139.28024170374056
129,43,no transition,154.70474453025196
130,43,slow transition,155.31072560535068
131,43,fast transition,140.6773295592727
