,iter,scenario,cost
0,0,no transition,173.22882847769998
1,0,slow transition,228.88427014633857
2,0,fast transition,192.82220908069797
3,1,no transition,196.0894430103026
4,1,slow transition,169.0185688763292
5,1,fast transition,277.17825376608687
6,2,no transition,144.12552151016217
7,2,slow transition,187.2680111454438
8,2,fast transition,236.35991921209904
9,3,no transition,237.05087510556615
10,3,slow transition,216.14885672506122
11,3,fast transition,209.59491440499056
12,4,no transition,159.08678934292783
13,4,slow transition,242.27003576736922
14,4,fast transition,192.2357139424128
15,5,no transition,190.17646946874478
16,5,slow transition,236.56437200568288
17,5,fast transition,235.97801574445384
18,6,no transition,193.58743680050725
19,6,slow transition,208.0186121738153
20,6,fast transition,478.29109461144907
21,7,no transition,200.43710029927513
22,7,slow transition,236.2111387578702
23,7,fast transition,435.97564755628736
24,8,no transition,187.79923073210148
25,8,slow transition,196.00619888741178
26,8,fast transition,298.4700229020025
27,9,no transition,201.27722422486255
28,9,slow transition,196.41199489684544
29,9,fast transition,206.21722059119375
30,10,no transition,189.17834231773307
31,10,slow transition,183.68230279124458
32,10,fast transition,237.07213676029065
33,11,no transition,166.50195555974244
34,11,slow transition,207.27309257292268
35,11,fast transition,186.15968728036523
36,12,no transition,171.2078245563433
37,12,slow transition,204.64108459326533
38,12,fast transition,210.42811943235102
39,13,no transition,184.39609320975327
40,13,slow transition,180.48314367526638
41,13,fast transition,312.34537245842296
42,14,no transition,178.36988724202646
43,14,slow transition,170.36022534921653
44,14,fast transition,201.51885214766875
45,15,no transition,168.94985010736022
46,15,slow transition,215.3998747017476
47,15,fast transition,155.30150019134913
48,16,no transition,159.69758977607475
49,16,slow transition,158.8222075139564
50,16,fast transition,323.40854905025896
51,17,no transition,162.83788806541594
52,17,slow transition,192.54094629467474
53,17,fast transition,245.0132185889648
54,18,no transition,166.7263781240252
55,18,slow transition,187.73849095906027
56,18,fast transition,233.5912124791483
57,19,no transition,177.05763268068392
58,19,slow transition,170.53642197920132
59,19,fast transition,198.8462789242815
60,20,no transition,165.22388832202694
61,20,slow transition,172.3894434748232
62,20,fast transition,185.02770192304615
63,21,no transition,170.6413367967627
64,21,slow transition,198.6446886125695
65,21,fast transition,238.566734004272
66,22,no transition,183.3948576997843
67,22,slow transition,261.9597841603031
68,22,fast transition,419.29994257795823
69,23,no transition,197.517888984126
70,23,slow transition,190.587048847701
71,23,fast transition,349.99637407206365
72,24,no transition,169.6849127641464
73,24,slow transition,190.76879400508082
74,24,fast transition,211.76315583910133
75,25,no transition,207.75726660584473
76,25,slow transition,196.92021406016
77,25,fast transition,197.51823839772098
78,26,no transition,192.970159219007
79,26,slow transition,172.06419850569517
80,26,fast transition,162.97101188411088
81,27,no transition,175.52137059502374
82,27,slow transition,225.97673086404592
83,27,fast transition,273.1852919190521
84,28,no transition,158.52519933749713
85,28,slow transition,194.93886497618325
86,28,fast transition,190.13113938759244
87,29,no transition,172.34576275689946
88,29,slow transition,269.12410296248373
89,29,fast transition,305.8450995888631
90,30,no transition,228.69198901213903
91,30,slow transition,182.66519387412916
92,30,fast transition,211.7402871906906
93,31,no transition,215.46973572045442
94,31,slow transition,232.22247339119406
95,31,fast transition,269.60337782809637
96,32,no transition,189.78753831888312
97,32,slow transition,186.97947362812505
98,32,fast transition,242.33838335244835
99,33,no transition,193.19370574732494
100,33,slow transition,195.9435336739198
101,33,fast transition,213.49017279966952
102,34,no transition,157.61541311605572
103,34,slow transition,201.57904160234978
104,34,fast transition,418.17583902783014
105,35,no transition,188.54944898926848
106,35,slow transition,238.36454913302182
107,35,fast transition,492.1472104721721
108,36,no transition,204.258357413123
109,36,slow transition,197.89130421083857
110,36,fast transition,243.43851804245458
111,37,no transition,190.35984345766823
112,37,slow transition,207.96703530839798
113,37,fast transition,184.65327799483492
114,38,no transition,187.566156214829
