,iter,scenario,cost
0,0,no transition,190.88871369422856
1,0,slow transition,163.72560202341472
2,0,fast transition,136.0442249758762
3,1,no transition,170.3680668679571
4,1,slow transition,164.04117743039544
5,1,fast transition,162.5217766419262
6,2,no transition,177.10852731011667
7,2,slow transition,175.4486153529658
8,2,fast transition,152.172233587752
9,3,no transition,175.64691339049506
10,3,slow transition,178.5968049012385
11,3,fast transition,171.72558906450382
12,4,no transition,167.22716244380587
13,4,slow transition,173.35880940329477
14,4,fast transition,174.9841107099179
15,5,no transition,221.4685877519928
16,5,slow transition,167.3617260508183
17,5,fast transition,150.02340424568638
18,6,no transition,185.1652601109673
19,6,slow transition,169.9394314718628
20,6,fast transition,158.28404747460144
21,7,no transition,168.78456464504077
22,7,slow transition,168.54271009858826
23,7,fast transition,170.55183590477236
24,8,no transition,154.40415767893964
25,8,slow transition,165.0953029115138
26,8,fast transition,155.86143426413923
27,9,no transition,184.59850128739825
28,9,slow transition,211.98637211489955
29,9,fast transition,154.75814498778539
30,10,no transition,191.33993172359592
31,10,slow transition,178.72621159453107
32,10,fast transition,162.74257433034532
33,11,no transition,167.4911321938265
34,11,slow transition,180.15881960296
35,11,fast transition,157.21529618799232
36,12,no transition,200.36639118062232
37,12,slow transition,189.8690355618417
38,12,fast transition,152.92008447355127
39,13,no transition,157.32256692507698
40,13,slow transition,157.6556726200675
41,13,fast transition,160.73416479906717
42,14,no transition,174.74810647161974
43,14,slow transition,164.88585569569182
44,14,fast transition,152.77781851502138
45,15,no transition,197.65063109865505
46,15,slow transition,170.50043831676322
47,15,fast transition,166.92535365816326
48,16,no transition,166.15008708327383
49,16,slow transition,192.90575735457193
50,16,fast transition,170.40202146938063
51,17,no transition,180.4926244587124
52,17,slow transition,164.91037247858745
53,17,fast transition,158.7743118576786
54,18,no transition,170.08235951007632
55,18,slow transition,162.92819645845057
56,18,fast transition,154.79759085846862
57,19,no transition,174.19529784420382
58,19,slow transition,165.3334462234043
