,iter,scenario,cost
0,0,no transition,150.81224549077987
1,0,slow transition,141.24076626655545
2,0,fast transition,124.8323996882025
3,1,no transition,167.1932857840032
4,1,slow transition,138.1084295318359
5,1,fast transition,125.27014163556487
6,2,no transition,157.92019378984511
7,2,slow transition,150.26898890566355
8,2,fast transition,116.70882445996268
9,3,no transition,161.62558704933554
10,3,slow transition,139.6032421305218
11,3,fast transition,124.37202671536609
12,4,no transition,163.5929224451451
13,4,slow transition,164.75006734054293
14,4,fast transition,144.21082057048375
15,5,no transition,170.6824134888057
16,5,slow transition,152.00332014035288
17,5,fast transition,142.93607977656114
18,6,no transition,187.51527424879887
19,6,slow transition,161.47800683360649
20,6,fast transition,143.16777138535366
21,7,no transition,155.69725826872693
22,7,slow transition,146.80542038533218
23,7,fast transition,127.4601789101651
24,8,no transition,160.1076541678057
25,8,slow transition,130.422136141486
26,8,fast transition,120.03434329031862
27,9,no transition,214.2187616728714
28,9,slow transition,129.52653350899942
29,9,fast transition,122.930528227007
30,10,no transition,211.18163691849017
31,10,slow transition,140.20556097228356
32,10,fast transition,140.94081229435494
33,11,no transition,169.78078782335174
34,11,slow transition,139.47722516640584
35,11,fast transition,123.83330342877359
36,12,no transition,192.67248569752024
37,12,slow transition,171.31485108361687
38,12,fast transition,123.46184573331651
39,13,no transition,171.31549766041584
40,13,slow transition,145.61415925937243
41,13,fast transition,122.98554563353703
42,14,no transition,158.14240654329117
43,14,slow transition,141.66719026061213
44,14,fast transition,121.33838729786135
45,15,no transition,141.9700865161022
46,15,slow transition,150.34129606565617
47,15,fast transition,131.03733060676666
48,16,no transition,174.31905797615315
49,16,slow transition,128.13303678688857
50,16,fast transition,140.45907818975144
51,17,no transition,158.20187208010893
52,17,slow transition,149.0177256422037
53,17,fast transition,125.52727317751653
54,18,no transition,149.01390783921872
55,18,slow transition,146.05434424078229
56,18,fast transition,122.03239563504819
57,19,no transition,153.977353487458
58,19,slow transition,142.05215092041894
59,19,fast transition,132.7785670515321
60,20,no transition,172.07194002632062
61,20,slow transition,138.85277446110868
62,20,fast transition,128.59220635066248
63,21,no transition,155.12099909917637
64,21,slow transition,146.0085322354929
65,21,fast transition,124.03520576833152
66,22,no transition,195.1272580793456
67,22,slow transition,150.32163492080198
68,22,fast transition,130.772293517918
69,23,no transition,172.0430347699147
70,23,slow transition,148.80384451763805
71,23,fast transition,127.60278290876671
72,24,no transition,152.1768824773814
73,24,slow transition,156.31543306797388
74,24,fast transition,119.28803630398532
75,25,no transition,171.42322364488206
76,25,slow transition,163.44322153818024
77,25,fast transition,133.57953094912804
78,26,no transition,173.09988883740812
79,26,slow transition,143.73407478695205
80,26,fast transition,124.79973131724616
81,27,no transition,171.78344324962242
82,27,slow transition,148.60557272992355
83,27,fast transition,127.89341032138165
84,28,no transition,157.2478015817185
85,28,slow transition,135.82268698606885
86,28,fast transition,127.34333275830708
87,29,no transition,177.8232185389484
88,29,slow transition,135.52609960836295
89,29,fast transition,127.66133747495894
90,30,no transition,174.80442682164278
91,30,slow transition,149.10299309737607
92,30,fast transition,114.91779026090455
93,31,no transition,153.25496231903736
94,31,slow transition,137.65854588725642
95,31,fast transition,153.28051407958353
96,32,no transition,162.8252819011776
97,32,slow transition,134.2741551067412
98,32,fast transition,128.18359503618245
99,33,no transition,161.79927533224387
100,33,slow transition,156.8807122923557
101,33,fast transition,125.2610643280439
102,34,no transition,179.79654220407687
103,34,slow transition,140.57780847707485
104,34,fast transition,149.9669070569038
105,35,no transition,157.47707731558205
106,35,slow transition,148.3520624611393
107,35,fast transition,148.71158280140222
108,36,no transition,159.43545383391643
109,36,slow transition,148.49379638467582
110,36,fast transition,121.50875394473559
111,37,no transition,159.40774381573667
112,37,slow transition,145.63141428543753
113,37,fast transition,121.49469349097531
114,38,no transition,163.29288020375688
115,38,slow transition,138.66511283800548
116,38,fast transition,128.73434732694523
117,39,no transition,161.25162103138868
118,39,slow transition,123.20840279195174
119,39,fast transition,130.235382655194
120,40,no transition,183.84035977688308
121,40,slow transition,136.56342115575725
122,40,fast transition,126.97680753421756
123,41,no transition,146.27909126542485
124,41,slow transition,153.3562911751219
125,41,fast transition,132.83152705973177
126,42,no transition,147.86927562464115
127,42,slow transition,146.93806751343092
128,42,fast transition,134.46829676032368
129,43,no transition,151.26236815196648
130,43,slow transition,155.43861123348574
131,43,fast transition,126.749794275464
132,44,no transition,166.38086456159795
133,44,slow transition,160.4849307281484
134,44,fast transition,126.65502050678327
135,45,no transition,176.89146956076442
136,45,slow transition,137.8081626213333
137,45,fast transition,127.26666209138372
138,46,no transition,166.4900015517133
139,46,slow transition,139.83640730181187
140,46,fast transition,128.23956751373515
141,47,no transition,179.53339097859742
142,47,slow transition,156.95030989319662
143,47,fast transition,144.30501690018272
144,48,no transition,155.34094541776784
145,48,slow transition,139.86686419349914
146,48,fast transition,129.52212901980698
147,49,no transition,153.00374243778185
148,49,slow transition,129.54009493001996
149,49,fast transition,127.98161229544156
150,50,no transition,173.36718501484907
151,50,slow transition,167.64002811719314
152,50,fast transition,135.22360447157672
153,51,no transition,189.183389794032
154,51,slow transition,149.7946896520387
155,51,fast transition,111.9980391067456
156,52,no transition,178.17407574957235
157,52,slow transition,142.49805011126136
158,52,fast transition,132.73457928648847
159,53,no transition,188.50618281629474
160,53,slow transition,152.8450589264004
161,53,fast transition,111.88208802147341
162,54,no transition,175.72211120658508
163,54,slow transition,144.9771837467913
164,54,fast transition,132.27580806586414
165,55,no transition,169.13307412670494
166,55,slow transition,159.77023401667836
167,55,fast transition,129.169350536091
168,56,no transition,148.9880486145259
169,56,slow transition,144.9271393539305
170,56,fast transition,134.72476873639005
171,57,no transition,148.75563619919308
172,57,slow transition,166.45198024743019
173,57,fast transition,120.92041089235596
174,58,no transition,150.53496133409655
175,58,slow transition,127.95866776252666
176,58,fast transition,133.11901804401006
177,59,no transition,185.54722172593532
178,59,slow transition,144.17634166175984
179,59,fast transition,128.71935821869218
180,60,no transition,188.51292959869966
181,60,slow transition,147.45226030572422
182,60,fast transition,122.79321532084366
183,61,no transition,156.72290892341837
184,61,slow transition,143.71189869221516
185,61,fast transition,145.38319479036136
186,62,no transition,168.5102813929515
187,62,slow transition,145.64241828925182
188,62,fast transition,126.68219080815051
189,63,no transition,185.30629136384658
190,63,slow transition,138.83188303200234
191,63,fast transition,127.76245738385767
192,64,no transition,156.4973915103468
193,64,slow transition,134.045579247229
194,64,fast transition,145.38803055675243
195,65,no transition,161.2477170275017
196,65,slow transition,140.3642561923042
197,65,fast transition,129.5802304407589
198,66,no transition,150.93340727505324
199,66,slow transition,145.22446165497874
200,66,fast transition,140.98677890402453
