Unit cost (2022 USD/MWh),Time (Year),Production (MWh),Cumulative production (MWh)
12105.0,1977,689.8500000000003,759.0988723549716
9300.0,1978,1379.7,1448.9488723549719
8399.999999999998,1979,2036.6999999999998,2828.648872354972
8385.0,1980,4106.249999999999,4865.348872354972
7439.999999999999,1981,5748.75,8971.59887235497
6584.999999999999,1982,8541.0,14720.34887235497
4665.0,1983,13468.499999999996,23261.34887235497
4005.0,1984,13140.0,36729.84887235497
3135.0,1985,12647.25,49869.84887235497
2325.0,1986,11661.75,62517.09887235497
1755.0,1987,14289.75,74178.84887235497
1635.0000000000002,1988,18231.749999999985,88468.59887235497
1694.9999999999998,1989,23159.25,106700.34887235495
1680.0000000000002,1990,90000.0,129859.59887235495
1467.0,1991,103000.0,219859.59887235495
1164.0000000000002,1992,125000.0,322859.59887235495
969.0000000000001,1993,153000.0,447859.59887235495
904.5,1994,171000.0,600859.598872355
862.4999999999999,1995,197000.0,771859.598872355
816.0000000000001,1996,228000.0,968859.598872355
805.5000000000001,1997,276000.0,1196859.598872355
685.5,1998,352000.0,1472859.598872355
618.0,1999,593000.0000000002,1824859.598872355
645.0,2000,776000.0,2417859.598872355
574.5,2001,1099000.0,3193859.598872355
513.0,2002,1359000.0,4292859.598872355
443.99999999999994,2003,1792000.0,5651859.598872355
493.50000000000006,2004,2430999.999999999,7443859.598872355
504.0,2005,3693000.0,9874859.598872354
541.5,2006,5299000.000000002,13567859.598872354
530.9999999999999,2007,7191000.0,18866859.598872356
524.9999999999999,2008,11636000.0,26057859.598872356
495.0,2009,19776000.0,37693859.598872356
445.0,2010,32003999.999999993,57469859.598872356
332.0,2011,63668000.000000015,89473859.59887235
248.0,2012,98879000.0,153141859.59887236
191.0,2013,139538000.0,252020859.59887236
172.0,2014,184629999.99999994,391558859.59887236
129.0,2015,244902000.0,576188859.5988723
113.0,2016,321125000.0000001,821090859.5988723
89.0,2017,431850000.0,1142215859.5988724
75.0,2018,554491000.0,1574065859.5988724
66.0,2019,684230999.9999998,2128556859.5988724
59.0,2020,825700000.0,2812787859.598872
51.0,2021,1020438000.0,3638487859.598872
49.0,2022,-4658925859.598872,4658925859.598872
