Unit cost (2022 USD/MWh),Time (Year),Production (MWh),Cumulative production (MWh)
339.40700000000004,1984,,1392750.0
315.15500000000003,1985,1291500.0,2684250.0
279.86499999999995,1986,1757480.0,4441730.0
271.55600000000004,1987,2346770.0,6788500.0
224.154,1988,2486660.0,9275160.0
207.401,1989,2974400.0,12249560.0
220.471,1990,3880000.0,16129560.0
211.528,1991,3880000.0,20009560.0
211.91,1992,4197000.0,24206560.0
222.956,1993,4638000.0,28844560.0
209.772,1994,5611000.0,34455560.0
219.476,1995,7311000.0,41766560.0
196.082,1996,7959000.0,49725560.0
171.793,1997,9453000.0,59178560.0
160.972,1998,12086000.0,71264560.0
158.667,1999,16080000.0,87344560.0
169.965,2000,21584000.0,108928560.0
149.195,2001,31354000.0,140282560.0
137.92399999999998,2002,38471000.0,178753560.0
120.838,2003,52880000.0,231633560.0
122.719,2004,64644000.0,296277560.0
114.964,2005,84799000.0,381076560.0
118.25099999999999,2006,104303000.0,485379560.0
107.661,2007,133507000.0,618886560.0
113.321,2008,171468000.0,790354560.0
110.97999999999999,2009,221993000.0,1012347560.0
107.237,2010,278369000.0,1290716560.0
101.91799999999999,2011,342203000.0,1632919560.0
93.28,2012,437417000.0,2070336560.0
93.891,2013,525644000.0,2595980560.0
84.304,2014,648234000.0,3244214560.0
72.628,2015,722350000.0,3966564560.0
67.26400000000001,2016,833995000.0,4800559560.0
63.132999999999996,2017,963035000.0,5763594560.0
53.577,2018,1134879000.0,6898473560.0
46.940000000000005,2019,1276432000.0,8174905560.0
39.059000000000005,2020,1429006000.0,9603911560.0
34.821999999999996,2021,1600710000.0,11204621560.0
33.055,2022,1864067000.0,13068688560.0
